project_id,student_id,project_title,domain,tech_stack,complexity,team_size,has_deployment,has_github,duration_weeks,year
RW-PROJ-SRM_STA_003_V2-01,SRM_STA_003_V2,Candidate Ranking System,AI,"Python,Pandas,Docker",Basic,4,False,True,12,2025
RW-PROJ-SRM_STA_003_V2-02,SRM_STA_003_V2,Skill Gap Analyzer,Data,"SQL,React,FastAPI",Basic,4,True,False,10,2022
RW-PROJ-SRM_STA_003_V2-03,SRM_STA_003_V2,Candidate Ranking System,Data,"AWS,Docker,Pandas",Intermediate,2,True,False,12,2024
RW-PROJ-SRM_STA_004-01,SRM_STA_004,Placement Eligibility Engine,IoT,"React,FastAPI,Docker",Intermediate,4,False,False,12,2025
RW-PROJ-SRM_STA_004-02,SRM_STA_004,Candidate Ranking System,IoT,"Docker,SQL,FastAPI",Advanced,2,False,True,12,2025
RW-PROJ-SRM_STA_004_V2-01,SRM_STA_004_V2,Resume Intelligence Dashboard,IoT,"Python,FastAPI,AWS",Intermediate,2,True,False,11,2022
RW-PROJ-SRM_STA_004_V2-02,SRM_STA_004_V2,Resume Intelligence Dashboard,IoT,"Docker,SQL,Python",Intermediate,1,False,True,9,2024
RW-PROJ-SRM_STA_005-01,SRM_STA_005,Candidate Ranking System,Cloud,"SQL,React,AWS",Intermediate,1,True,True,6,2026
RW-PROJ-SRM_STA_005-02,SRM_STA_005,Skill Gap Analyzer,Cloud,"FastAPI,Docker,SQL",Basic,1,True,True,4,2026
RW-PROJ-SRM_STA_005_V2-01,SRM_STA_005_V2,Resume Intelligence Dashboard,Data,"Docker,AWS,FastAPI",Basic,3,True,False,4,2024
RW-PROJ-SRM_STA_005_V2-02,SRM_STA_005_V2,Skill Gap Analyzer,Web,"FastAPI,SQL,AWS",Intermediate,1,True,True,12,2023
RW-PROJ-SRM_STA_006-01,SRM_STA_006,Skill Gap Analyzer,Cloud,"AWS,FastAPI,React",Intermediate,4,True,False,9,2022
RW-PROJ-SRM_STA_006-02,SRM_STA_006,Skill Gap Analyzer,Cloud,"Pandas,AWS,SQL",Advanced,1,False,True,8,2025
RW-PROJ-SRM_STA_006_V2-01,SRM_STA_006_V2,Placement Eligibility Engine,Data,"FastAPI,Python,AWS",Basic,1,False,True,10,2024
RW-PROJ-SRM_STA_006_V2-02,SRM_STA_006_V2,Placement Eligibility Engine,Data,"SQL,React,Python",Basic,1,False,True,6,2026
RW-PROJ-SRM_STA_007-01,SRM_STA_007,Candidate Ranking System,AI,"AWS,Pandas,SQL",Intermediate,3,False,True,7,2022
RW-PROJ-SRM_STA_007-02,SRM_STA_007,Candidate Ranking System,Cloud,"SQL,Python,Docker",Intermediate,2,False,True,6,2026
RW-PROJ-SRM_STA_007_V2-01,SRM_STA_007_V2,Resume Intelligence Dashboard,IoT,"AWS,Pandas,Docker",Intermediate,4,True,True,4,2026
RW-PROJ-SRM_STA_007_V2-02,SRM_STA_007_V2,Placement Eligibility Engine,AI,"Pandas,AWS,Docker",Basic,3,False,True,3,2022
RW-PROJ-SRM_STA_008-01,SRM_STA_008,Placement Eligibility Engine,AI,"Python,AWS,React",Intermediate,1,True,True,3,2023
RW-PROJ-SRM_STA_008-02,SRM_STA_008,Placement Eligibility Engine,AI,"React,AWS,Python",Intermediate,1,True,False,12,2022
RW-PROJ-SRM_STA_008_V2-01,SRM_STA_008_V2,Candidate Ranking System,Web,"FastAPI,Python,React",Basic,4,True,False,10,2022
RW-PROJ-SRM_STA_008_V2-02,SRM_STA_008_V2,Resume Intelligence Dashboard,AI,"React,Python,FastAPI",Intermediate,4,True,True,10,2023
RW-PROJ-SRM_STA_009-01,SRM_STA_009,Placement Eligibility Engine,Cloud,"Docker,AWS,React",Intermediate,1,False,True,10,2025
RW-PROJ-SRM_STA_009-02,SRM_STA_009,Placement Eligibility Engine,Web,"AWS,Python,Docker",Advanced,3,False,True,8,2026
RW-PROJ-SRM_STA_009_V2-01,SRM_STA_009_V2,Placement Eligibility Engine,Web,"FastAPI,Pandas,React",Intermediate,3,False,True,8,2024
RW-PROJ-SRM_STA_009_V2-02,SRM_STA_009_V2,Placement Eligibility Engine,Data,"React,Python,FastAPI",Basic,3,False,True,10,2025
RW-PROJ-SRM_STA_010-01,SRM_STA_010,Placement Eligibility Engine,IoT,"React,FastAPI,Python",Intermediate,1,False,True,11,2022
RW-PROJ-SRM_STA_010-02,SRM_STA_010,Candidate Ranking System,IoT,"Pandas,Docker,Python",Intermediate,4,False,True,3,2025
RW-PROJ-SRM_STA_010_V2-01,SRM_STA_010_V2,Resume Intelligence Dashboard,Data,"Pandas,SQL,FastAPI",Advanced,2,True,False,8,2022
RW-PROJ-SRM_STA_010_V2-02,SRM_STA_010_V2,Skill Gap Analyzer,AI,"Python,Pandas,SQL",Intermediate,1,False,False,11,2022
RW-PROJ-SRM_STA_011-01,SRM_STA_011,Skill Gap Analyzer,Cloud,"FastAPI,SQL,Python",Basic,4,False,True,5,2024
RW-PROJ-SRM_STA_011-02,SRM_STA_011,Resume Intelligence Dashboard,AI,"React,SQL,Python",Advanced,2,True,True,11,2022
RW-PROJ-SRM_STA_011_V2-01,SRM_STA_011_V2,Skill Gap Analyzer,Cloud,"React,FastAPI,Docker",Advanced,3,False,False,5,2023
RW-PROJ-SRM_STA_011_V2-02,SRM_STA_011_V2,Placement Eligibility Engine,AI,"Python,SQL,FastAPI",Basic,4,False,False,11,2022
RW-PROJ-SRM_STA_012-01,SRM_STA_012,Candidate Ranking System,Data,"Python,SQL,Docker",Advanced,2,True,False,7,2023
RW-PROJ-SRM_STA_012-02,SRM_STA_012,Resume Intelligence Dashboard,AI,"FastAPI,Pandas,Python",Advanced,4,False,True,12,2026
RW-PROJ-SRM_STA_012-03,SRM_STA_012,Resume Intelligence Dashboard,Data,"Pandas,React,Docker",Intermediate,4,False,True,8,2024
RW-PROJ-SRM_STA_012_V2-01,SRM_STA_012_V2,Resume Intelligence Dashboard,AI,"Pandas,AWS,SQL",Intermediate,2,True,True,5,2023
RW-PROJ-SRM_STA_012_V2-02,SRM_STA_012_V2,Placement Eligibility Engine,Cloud,"SQL,FastAPI,Pandas",Basic,3,True,True,11,2025
RW-PROJ-SRM_STA_012_V2-03,SRM_STA_012_V2,Placement Eligibility Engine,AI,"Docker,Python,React",Intermediate,3,True,True,10,2022
RW-PROJ-SRM_STA_013-01,SRM_STA_013,Resume Intelligence Dashboard,Data,"React,FastAPI,Python",Basic,3,True,True,8,2023
RW-PROJ-SRM_STA_013-02,SRM_STA_013,Resume Intelligence Dashboard,Data,"SQL,Pandas,Docker",Basic,3,False,True,4,2026
RW-PROJ-SRM_STA_013_V2-01,SRM_STA_013_V2,Skill Gap Analyzer,Cloud,"Pandas,SQL,React",Basic,2,False,False,6,2026
RW-PROJ-SRM_STA_013_V2-02,SRM_STA_013_V2,Resume Intelligence Dashboard,Cloud,"Pandas,Python,AWS",Basic,1,True,True,8,2023
RW-PROJ-SRM_STA_014-01,SRM_STA_014,Placement Eligibility Engine,Web,"SQL,React,AWS",Basic,1,False,True,4,2022
RW-PROJ-SRM_STA_014-02,SRM_STA_014,Resume Intelligence Dashboard,Cloud,"Docker,Pandas,Python",Basic,1,False,True,12,2022
RW-PROJ-SRM_STA_014_V2-01,SRM_STA_014_V2,Skill Gap Analyzer,Data,"React,FastAPI,AWS",Basic,1,False,True,3,2026
RW-PROJ-SRM_STA_014_V2-02,SRM_STA_014_V2,Placement Eligibility Engine,Web,"SQL,React,FastAPI",Basic,1,True,True,10,2024
RW-PROJ-SRM_STA_015-01,SRM_STA_015,Candidate Ranking System,AI,"Pandas,Docker,FastAPI",Advanced,1,False,True,12,2022
RW-PROJ-SRM_STA_015-02,SRM_STA_015,Placement Eligibility Engine,AI,"SQL,React,Docker",Basic,4,False,True,10,2024
RW-PROJ-SRM_STA_015_V2-01,SRM_STA_015_V2,Resume Intelligence Dashboard,Cloud,"Pandas,SQL,Docker",Intermediate,4,False,False,7,2023
RW-PROJ-SRM_STA_015_V2-02,SRM_STA_015_V2,Candidate Ranking System,Cloud,"React,SQL,Pandas",Intermediate,1,True,True,11,2026
RW-PROJ-SRM_STA_016-01,SRM_STA_016,Resume Intelligence Dashboard,Data,"React,Python,FastAPI",Intermediate,1,True,True,12,2026
RW-PROJ-SRM_STA_016-02,SRM_STA_016,Candidate Ranking System,Data,"Python,AWS,Pandas",Advanced,1,True,True,9,2024
RW-PROJ-SRM_STA_016_V2-01,SRM_STA_016_V2,Resume Intelligence Dashboard,Data,"FastAPI,Pandas,React",Advanced,1,True,True,12,2024
RW-PROJ-SRM_STA_016_V2-02,SRM_STA_016_V2,Skill Gap Analyzer,AI,"FastAPI,Docker,Pandas",Intermediate,2,False,False,7,2026
RW-PROJ-SRM_STA_017-01,SRM_STA_017,Candidate Ranking System,IoT,"AWS,Docker,Python",Advanced,2,False,False,5,2024
RW-PROJ-SRM_STA_017-02,SRM_STA_017,Candidate Ranking System,Cloud,"SQL,Python,React",Intermediate,3,True,True,7,2026
RW-PROJ-SRM_STA_017_V2-01,SRM_STA_017_V2,Skill Gap Analyzer,IoT,"SQL,Python,Pandas",Intermediate,1,False,True,5,2023
RW-PROJ-SRM_STA_017_V2-02,SRM_STA_017_V2,Resume Intelligence Dashboard,IoT,"AWS,FastAPI,Python",Advanced,3,True,False,12,2022
RW-PROJ-SRM_STA_018-01,SRM_STA_018,Skill Gap Analyzer,Web,"SQL,Pandas,Docker",Intermediate,1,True,True,3,2022
RW-PROJ-SRM_STA_018-02,SRM_STA_018,Placement Eligibility Engine,Data,"FastAPI,Pandas,SQL",Advanced,3,True,True,11,2023
RW-PROJ-SRM_STA_018-03,SRM_STA_018,Candidate Ranking System,Cloud,"Python,Pandas,SQL",Intermediate,1,True,True,7,2023
RW-PROJ-SRM_STA_018_V2-01,SRM_STA_018_V2,Resume Intelligence Dashboard,Web,"AWS,SQL,FastAPI",Basic,3,False,True,11,2024
RW-PROJ-SRM_STA_018_V2-02,SRM_STA_018_V2,Candidate Ranking System,AI,"Docker,Python,React",Advanced,4,True,False,9,2023
RW-PROJ-SRM_STA_018_V2-03,SRM_STA_018_V2,Skill Gap Analyzer,Data,"FastAPI,Python,AWS",Basic,2,True,True,5,2026
RW-PROJ-SRM_STA_019-01,SRM_STA_019,Placement Eligibility Engine,Data,"AWS,React,Python",Intermediate,4,True,False,8,2023
RW-PROJ-SRM_STA_019-02,SRM_STA_019,Resume Intelligence Dashboard,AI,"AWS,FastAPI,Pandas",Intermediate,4,False,True,6,2024
RW-PROJ-SRM_STA_019-03,SRM_STA_019,Skill Gap Analyzer,Cloud,"Pandas,React,Docker",Basic,2,True,True,6,2025
RW-PROJ-SRM_STA_019_V2-01,SRM_STA_019_V2,Resume Intelligence Dashboard,AI,"FastAPI,Python,AWS",Intermediate,2,True,True,12,2026
RW-PROJ-SRM_STA_019_V2-02,SRM_STA_019_V2,Resume Intelligence Dashboard,AI,"SQL,FastAPI,AWS",Intermediate,3,True,True,5,2026
RW-PROJ-SRM_STA_019_V2-03,SRM_STA_019_V2,Resume Intelligence Dashboard,IoT,"React,SQL,Docker",Advanced,4,True,True,5,2022
RW-PROJ-SRM_STA_020-01,SRM_STA_020,Placement Eligibility Engine,AI,"Pandas,SQL,React",Advanced,4,False,True,10,2022
RW-PROJ-SRM_STA_020-02,SRM_STA_020,Candidate Ranking System,Data,"AWS,FastAPI,Pandas",Intermediate,4,False,True,5,2022
RW-PROJ-SRM_STA_020-03,SRM_STA_020,Skill Gap Analyzer,AI,"React,SQL,Docker",Basic,3,True,True,6,2026
RW-PROJ-SRM_STA_020_V2-01,SRM_STA_020_V2,Skill Gap Analyzer,Data,"Docker,Python,AWS",Advanced,4,False,True,6,2025
RW-PROJ-SRM_STA_020_V2-02,SRM_STA_020_V2,Resume Intelligence Dashboard,AI,"Docker,React,AWS",Intermediate,4,False,True,5,2022
RW-PROJ-SRM_STA_020_V2-03,SRM_STA_020_V2,Skill Gap Analyzer,Cloud,"Docker,Pandas,SQL",Advanced,2,False,False,8,2026
RW-PROJ-SRM_STA_021-01,SRM_STA_021,Skill Gap Analyzer,Web,"React,AWS,SQL",Basic,4,False,False,4,2022
RW-PROJ-SRM_STA_021-02,SRM_STA_021,Resume Intelligence Dashboard,IoT,"Pandas,Docker,Python",Intermediate,3,False,True,11,2022
RW-PROJ-SRM_STA_021_V2-01,SRM_STA_021_V2,Resume Intelligence Dashboard,Web,"React,Python,Docker",Basic,1,True,False,3,2023
RW-PROJ-SRM_STA_021_V2-02,SRM_STA_021_V2,Candidate Ranking System,Web,"AWS,React,Pandas",Advanced,2,False,True,5,2025
RW-PROJ-SRM_STA_022-01,SRM_STA_022,Candidate Ranking System,Web,"AWS,Python,FastAPI",Basic,4,True,True,7,2025
RW-PROJ-SRM_STA_022-02,SRM_STA_022,Candidate Ranking System,AI,"Pandas,FastAPI,SQL",Intermediate,4,False,True,6,2025
RW-PROJ-SRM_STA_022_V2-01,SRM_STA_022_V2,Candidate Ranking System,Web,"FastAPI,React,SQL",Advanced,1,True,False,6,2023
RW-PROJ-SRM_STA_022_V2-02,SRM_STA_022_V2,Candidate Ranking System,AI,"Docker,Pandas,AWS",Intermediate,2,False,False,3,2024
RW-PROJ-SRM_STA_023-01,SRM_STA_023,Resume Intelligence Dashboard,AI,"Pandas,Docker,Python",Basic,1,True,False,4,2023
RW-PROJ-SRM_STA_023-02,SRM_STA_023,Resume Intelligence Dashboard,Web,"SQL,React,Docker",Advanced,4,True,True,4,2023
RW-PROJ-SRM_STA_023_V2-01,SRM_STA_023_V2,Candidate Ranking System,Web,"React,Pandas,AWS",Intermediate,4,True,True,8,2022
RW-PROJ-SRM_STA_023_V2-02,SRM_STA_023_V2,Candidate Ranking System,Web,"Docker,Python,FastAPI",Basic,1,False,True,5,2025
RW-PROJ-SRM_STA_024-01,SRM_STA_024,Skill Gap Analyzer,Data,"SQL,Python,Docker",Advanced,2,True,True,6,2026
RW-PROJ-SRM_STA_024-02,SRM_STA_024,Candidate Ranking System,Data,"Docker,AWS,Pandas",Basic,3,False,True,9,2023
RW-PROJ-SRM_STA_024_V2-01,SRM_STA_024_V2,Candidate Ranking System,IoT,"Python,AWS,Docker",Intermediate,3,True,True,3,2022
RW-PROJ-SRM_STA_024_V2-02,SRM_STA_024_V2,Candidate Ranking System,Data,"FastAPI,AWS,Python",Intermediate,3,True,True,12,2026
RW-PROJ-SRM_STA_025-01,SRM_STA_025,Resume Intelligence Dashboard,Cloud,"React,Pandas,Docker",Intermediate,1,False,True,12,2026
RW-PROJ-SRM_STA_025-02,SRM_STA_025,Candidate Ranking System,Data,"FastAPI,Pandas,AWS",Intermediate,4,True,True,5,2023
RW-PROJ-SRM_STA_025_V2-01,SRM_STA_025_V2,Resume Intelligence Dashboard,Data,"SQL,Docker,AWS",Intermediate,4,False,False,12,2025
RW-PROJ-SRM_STA_025_V2-02,SRM_STA_025_V2,Resume Intelligence Dashboard,Data,"SQL,React,AWS",Advanced,4,False,True,4,2022
RW-PROJ-SRM_STA_026-01,SRM_STA_026,Resume Intelligence Dashboard,Web,"AWS,Python,FastAPI",Advanced,3,True,False,11,2022
RW-PROJ-SRM_STA_026-02,SRM_STA_026,Placement Eligibility Engine,IoT,"FastAPI,Docker,Python",Advanced,2,True,True,3,2022
RW-PROJ-SRM_STA_026_V2-01,SRM_STA_026_V2,Skill Gap Analyzer,Web,"Pandas,SQL,AWS",Intermediate,1,False,False,12,2026
RW-PROJ-SRM_STA_026_V2-02,SRM_STA_026_V2,Placement Eligibility Engine,Cloud,"FastAPI,Docker,Pandas",Basic,3,False,True,9,2022
RW-PROJ-SRM_STA_027-01,SRM_STA_027,Skill Gap Analyzer,Cloud,"React,FastAPI,AWS",Intermediate,3,True,True,10,2024
RW-PROJ-SRM_STA_027-02,SRM_STA_027,Placement Eligibility Engine,Data,"SQL,React,Pandas",Advanced,3,False,True,3,2026
RW-PROJ-SRM_STA_027-03,SRM_STA_027,Candidate Ranking System,AI,"Python,AWS,React",Intermediate,4,True,True,4,2026
RW-PROJ-SRM_STA_027_V2-01,SRM_STA_027_V2,Placement Eligibility Engine,AI,"React,AWS,Pandas",Basic,3,True,True,11,2023
RW-PROJ-SRM_STA_027_V2-02,SRM_STA_027_V2,Placement Eligibility Engine,AI,"FastAPI,React,Python",Basic,3,True,True,11,2024
RW-PROJ-SRM_STA_027_V2-03,SRM_STA_027_V2,Placement Eligibility Engine,AI,"AWS,Docker,FastAPI",Advanced,3,True,True,3,2025
RW-PROJ-SRM_STA_028-01,SRM_STA_028,Resume Intelligence Dashboard,Web,"AWS,Pandas,Python",Basic,2,False,True,4,2022
RW-PROJ-SRM_STA_028-02,SRM_STA_028,Candidate Ranking System,Cloud,"Docker,Python,FastAPI",Advanced,3,True,False,10,2023
RW-PROJ-SRM_STA_028_V2-01,SRM_STA_028_V2,Resume Intelligence Dashboard,Data,"AWS,Docker,Python",Intermediate,3,True,False,3,2026
RW-PROJ-SRM_STA_028_V2-02,SRM_STA_028_V2,Resume Intelligence Dashboard,IoT,"Docker,React,FastAPI",Basic,3,False,True,12,2025
RW-PROJ-SRM_STA_029-01,SRM_STA_029,Candidate Ranking System,IoT,"AWS,SQL,FastAPI",Advanced,3,True,True,5,2022
RW-PROJ-SRM_STA_029-02,SRM_STA_029,Candidate Ranking System,AI,"Pandas,React,Python",Advanced,2,True,True,6,2023
RW-PROJ-SRM_STA_029_V2-01,SRM_STA_029_V2,Placement Eligibility Engine,Web,"React,Python,Docker",Intermediate,1,False,True,9,2022
RW-PROJ-SRM_STA_029_V2-02,SRM_STA_029_V2,Skill Gap Analyzer,Web,"SQL,Pandas,React",Intermediate,3,True,True,12,2025
RW-PROJ-SRM_STA_030-01,SRM_STA_030,Candidate Ranking System,Web,"SQL,AWS,Docker",Advanced,4,True,True,7,2026
RW-PROJ-SRM_STA_030-02,SRM_STA_030,Candidate Ranking System,IoT,"AWS,Python,React",Basic,2,True,False,6,2024
RW-PROJ-SRM_STA_030_V2-01,SRM_STA_030_V2,Resume Intelligence Dashboard,Data,"Python,SQL,FastAPI",Advanced,1,True,True,4,2022
RW-PROJ-SRM_STA_030_V2-02,SRM_STA_030_V2,Resume Intelligence Dashboard,Data,"Python,FastAPI,React",Intermediate,2,True,True,7,2023
RW-PROJ-SRM_STA_031-01,SRM_STA_031,Placement Eligibility Engine,Cloud,"React,Docker,AWS",Intermediate,2,True,True,10,2025
RW-PROJ-SRM_STA_031-02,SRM_STA_031,Skill Gap Analyzer,AI,"SQL,React,Pandas",Advanced,4,False,True,11,2022
RW-PROJ-SRM_STA_031-03,SRM_STA_031,Skill Gap Analyzer,Web,"FastAPI,React,SQL",Advanced,1,True,True,8,2024
RW-PROJ-SRM_STA_031_V2-01,SRM_STA_031_V2,Candidate Ranking System,AI,"FastAPI,Pandas,React",Intermediate,1,False,True,7,2022
RW-PROJ-SRM_STA_031_V2-02,SRM_STA_031_V2,Placement Eligibility Engine,AI,"AWS,FastAPI,React",Basic,4,False,False,9,2024
RW-PROJ-SRM_STA_031_V2-03,SRM_STA_031_V2,Placement Eligibility Engine,Web,"SQL,AWS,FastAPI",Basic,4,False,True,5,2024
RW-PROJ-SRM_STA_032-01,SRM_STA_032,Candidate Ranking System,Data,"React,Python,Docker",Intermediate,1,True,True,6,2026
RW-PROJ-SRM_STA_032-02,SRM_STA_032,Skill Gap Analyzer,IoT,"Pandas,Docker,AWS",Advanced,1,True,True,10,2024
RW-PROJ-SRM_STA_032-03,SRM_STA_032,Skill Gap Analyzer,Cloud,"FastAPI,React,Pandas",Basic,2,True,True,10,2025
RW-PROJ-SRM_STA_032_V2-01,SRM_STA_032_V2,Resume Intelligence Dashboard,Data,"Python,AWS,React",Intermediate,4,True,False,11,2023
RW-PROJ-SRM_STA_032_V2-02,SRM_STA_032_V2,Candidate Ranking System,Web,"Pandas,SQL,React",Basic,1,True,False,4,2026
RW-PROJ-SRM_STA_032_V2-03,SRM_STA_032_V2,Candidate Ranking System,Web,"Python,AWS,Docker",Advanced,3,False,True,6,2022
RW-PROJ-SRM_STA_033-01,SRM_STA_033,Candidate Ranking System,Cloud,"Python,React,AWS",Basic,3,False,False,8,2022
RW-PROJ-SRM_STA_033-02,SRM_STA_033,Candidate Ranking System,Web,"Pandas,React,Python",Advanced,3,True,True,4,2023
RW-PROJ-SRM_STA_033_V2-01,SRM_STA_033_V2,Resume Intelligence Dashboard,Data,"React,AWS,Pandas",Basic,1,False,True,7,2023
RW-PROJ-SRM_STA_033_V2-02,SRM_STA_033_V2,Placement Eligibility Engine,Cloud,"React,AWS,Python",Basic,4,True,True,7,2024
RW-PROJ-SRM_STA_034-01,SRM_STA_034,Placement Eligibility Engine,Web,"React,Python,Docker",Advanced,2,False,False,10,2024
RW-PROJ-SRM_STA_034-02,SRM_STA_034,Placement Eligibility Engine,Web,"React,Pandas,Docker",Advanced,2,False,True,6,2024
RW-PROJ-SRM_STA_034_V2-01,SRM_STA_034_V2,Skill Gap Analyzer,Cloud,"Pandas,SQL,Docker",Intermediate,4,True,True,8,2023
RW-PROJ-SRM_STA_034_V2-02,SRM_STA_034_V2,Candidate Ranking System,Web,"React,Docker,Python",Basic,3,True,True,9,2024
RW-PROJ-SRM_STA_035-01,SRM_STA_035,Placement Eligibility Engine,Cloud,"Python,SQL,Docker",Advanced,2,False,True,5,2024
RW-PROJ-SRM_STA_035-02,SRM_STA_035,Placement Eligibility Engine,IoT,"FastAPI,AWS,React",Basic,1,True,True,9,2025
RW-PROJ-SRM_STA_035_V2-01,SRM_STA_035_V2,Resume Intelligence Dashboard,AI,"Docker,AWS,Pandas",Advanced,4,True,True,5,2023
RW-PROJ-SRM_STA_035_V2-02,SRM_STA_035_V2,Skill Gap Analyzer,Web,"AWS,React,Docker",Intermediate,2,True,False,12,2023
RW-PROJ-SRM_STA_036-01,SRM_STA_036,Resume Intelligence Dashboard,Web,"FastAPI,Python,Pandas",Advanced,3,True,True,8,2026
RW-PROJ-SRM_STA_036-02,SRM_STA_036,Candidate Ranking System,Data,"SQL,AWS,Docker",Intermediate,2,True,True,9,2026
RW-PROJ-SRM_STA_036_V2-01,SRM_STA_036_V2,Skill Gap Analyzer,AI,"AWS,SQL,Python",Advanced,3,True,False,10,2025
RW-PROJ-SRM_STA_036_V2-02,SRM_STA_036_V2,Resume Intelligence Dashboard,Data,"Pandas,Docker,Python",Advanced,4,False,False,5,2026
RW-PROJ-SRM_STA_037-01,SRM_STA_037,Candidate Ranking System,Data,"React,AWS,SQL",Advanced,4,True,True,5,2026
RW-PROJ-SRM_STA_037-02,SRM_STA_037,Candidate Ranking System,AI,"Docker,AWS,SQL",Basic,1,True,True,9,2026
RW-PROJ-SRM_STA_037_V2-01,SRM_STA_037_V2,Resume Intelligence Dashboard,IoT,"Docker,Pandas,SQL",Basic,3,True,True,10,2023
RW-PROJ-SRM_STA_037_V2-02,SRM_STA_037_V2,Skill Gap Analyzer,Web,"AWS,Docker,Python",Advanced,3,False,True,4,2024
RW-PROJ-SRM_STA_038-01,SRM_STA_038,Candidate Ranking System,AI,"FastAPI,AWS,SQL",Intermediate,2,True,True,4,2023
RW-PROJ-SRM_STA_038-02,SRM_STA_038,Skill Gap Analyzer,IoT,"Docker,Python,SQL",Intermediate,2,True,True,10,2024
RW-PROJ-SRM_STA_038_V2-01,SRM_STA_038_V2,Placement Eligibility Engine,Cloud,"React,Python,AWS",Basic,4,True,True,5,2025
RW-PROJ-SRM_STA_038_V2-02,SRM_STA_038_V2,Resume Intelligence Dashboard,Cloud,"Docker,AWS,Pandas",Intermediate,4,False,False,4,2022
RW-PROJ-SRM_STA_039-01,SRM_STA_039,Resume Intelligence Dashboard,Web,"AWS,Python,React",Advanced,2,False,True,8,2022
RW-PROJ-SRM_STA_039-02,SRM_STA_039,Resume Intelligence Dashboard,Web,"FastAPI,React,AWS",Basic,3,True,False,4,2026
RW-PROJ-SRM_STA_039_V2-01,SRM_STA_039_V2,Placement Eligibility Engine,IoT,"FastAPI,React,Docker",Intermediate,3,False,True,4,2026
RW-PROJ-SRM_STA_039_V2-02,SRM_STA_039_V2,Skill Gap Analyzer,Data,"Pandas,AWS,React",Intermediate,4,False,True,9,2023
RW-PROJ-SRM_STA_040-01,SRM_STA_040,Resume Intelligence Dashboard,IoT,"Pandas,Python,SQL",Advanced,1,False,True,7,2023
RW-PROJ-SRM_STA_040-02,SRM_STA_040,Placement Eligibility Engine,Data,"Python,Docker,Pandas",Basic,4,True,True,4,2023
RW-PROJ-SRM_STA_040_V2-01,SRM_STA_040_V2,Placement Eligibility Engine,Web,"React,Pandas,FastAPI",Advanced,3,False,True,8,2023
RW-PROJ-SRM_STA_040_V2-02,SRM_STA_040_V2,Candidate Ranking System,Cloud,"React,Pandas,SQL",Intermediate,3,False,True,6,2024
RW-PROJ-SRM_STA_041-01,SRM_STA_041,Placement Eligibility Engine,AI,"AWS,Pandas,FastAPI",Advanced,3,False,True,11,2026
RW-PROJ-SRM_STA_041-02,SRM_STA_041,Resume Intelligence Dashboard,IoT,"Pandas,React,FastAPI",Basic,2,False,True,11,2024
RW-PROJ-SRM_STA_041-03,SRM_STA_041,Resume Intelligence Dashboard,Cloud,"Pandas,Docker,React",Intermediate,1,False,True,11,2022
RW-PROJ-SRM_STA_041-04,SRM_STA_041,Skill Gap Analyzer,Data,"Pandas,SQL,AWS",Basic,1,True,True,6,2024
RW-PROJ-SRM_STA_041-05,SRM_STA_041,Resume Intelligence Dashboard,Cloud,"FastAPI,Pandas,Python",Intermediate,1,True,True,8,2022
RW-PROJ-SRM_STA_042-01,SRM_STA_042,Candidate Ranking System,Data,"Python,React,AWS",Intermediate,3,False,True,10,2023
