internship_id,student_id,company_name,company_tier,role,domain,duration_months,stipend,mode,year
RW-INT-SRM_STA_077-01,SRM_STA_077,Nexora,Startup,Web Developer Intern,Data,1.0,True,On-site,2026
RW-INT-SRM_STA_078-01,SRM_STA_078,Nexora,Tier1,Data Analyst Intern,Data,2.0,True,On-site,2024
RW-INT-SRM_STA_079-01,SRM_STA_079,Nexora,Tier2,SDE Intern,Cloud,1.0,True,Hybrid,2023
RW-INT-SRM_STA_080-01,SRM_STA_080,CloudBridge,Tier1,Web Developer Intern,Cloud,1.0,True,Hybrid,2022
RW-INT-SRM_STA_080-02,SRM_STA_080,Nexora,Tier2,Data Analyst Intern,Cloud,3.0,False,On-site,2023
RW-INT-SRM_STA_081-01,SRM_STA_081,CodeWave,Tier1,Web Developer Intern,Cloud,6.0,True,On-site,2022
RW-INT-SRM_STA_081-02,SRM_STA_081,FinSight,Tier2,SDE Intern,Cloud,1.0,True,Hybrid,2026
RW-INT-SRM_STA_082-01,SRM_STA_082,DataNest,Tier1,SDE Intern,Cloud,1.0,False,On-site,2023
RW-INT-SRM_STA_083-01,SRM_STA_083,CodeWave,Tier3,SDE Intern,Cloud,2.0,False,On-site,2024
RW-INT-SRM_STA_084-01,SRM_STA_084,CodeWave,Tier3,Data Analyst Intern,AI,2.0,True,Remote,2023
RW-INT-SRM_STA_085-01,SRM_STA_085,FinSight,Tier1,Data Analyst Intern,Data,1.0,True,Hybrid,2024
RW-INT-SRM_STA_086-01,SRM_STA_086,Nexora,Startup,SDE Intern,Data,3.0,True,On-site,2026
RW-INT-SRM_STA_086-02,SRM_STA_086,CloudBridge,Tier1,ML Intern,Data,1.0,False,On-site,2025
RW-INT-SRM_STA_087-01,SRM_STA_087,Nexora,Tier2,ML Intern,Cloud,3.0,True,Remote,2024
RW-INT-SRM_STA_088-01,SRM_STA_088,FinSight,Tier3,SDE Intern,Cloud,3.0,False,On-site,2023
RW-INT-SRM_STA_088-02,SRM_STA_088,CloudBridge,Tier3,Web Developer Intern,Data,1.0,False,Hybrid,2025
RW-INT-SRM_STA_089-01,SRM_STA_089,CodeWave,Tier2,SDE Intern,AI,1.0,True,Remote,2023
RW-INT-SRM_STA_089-02,SRM_STA_089,CodeWave,Startup,SDE Intern,Data,6.0,False,On-site,2026
RW-INT-SRM_STA_090-01,SRM_STA_090,Nexora,Tier2,SDE Intern,AI,2.0,True,Hybrid,2026
RW-INT-SRM_STA_091-01,SRM_STA_091,CodeWave,Tier3,ML Intern,Web,3.0,True,On-site,2025
RW-INT-SRM_STA_092-01,SRM_STA_092,CloudBridge,Tier2,SDE Intern,Web,1.0,True,Remote,2025
RW-INT-SRM_STA_093-01,SRM_STA_093,Nexora,Tier2,Web Developer Intern,AI,2.0,False,On-site,2023
RW-INT-SRM_STA_094-01,SRM_STA_094,CodeWave,Tier1,ML Intern,Data,1.0,True,Remote,2023
RW-INT-SRM_STA_095-01,SRM_STA_095,DataNest,Startup,SDE Intern,AI,1.0,True,Hybrid,2026
RW-INT-SRM_STA_095-02,SRM_STA_095,CodeWave,Tier3,Web Developer Intern,Data,1.0,True,Remote,2023
RW-INT-SRM_STA_096-01,SRM_STA_096,Nexora,Tier2,Data Analyst Intern,Web,2.0,False,Hybrid,2025
RW-INT-SRM_STA_097-01,SRM_STA_097,Nexora,Tier2,Web Developer Intern,Web,2.0,True,On-site,2023
RW-INT-SRM_STA_097-02,SRM_STA_097,CloudBridge,Tier1,ML Intern,Data,3.0,True,Remote,2024
RW-INT-SRM_STA_098-01,SRM_STA_098,Nexora,Tier2,Data Analyst Intern,Web,3.0,True,Remote,2022
RW-INT-SRM_STA_099-01,SRM_STA_099,FinSight,Tier1,SDE Intern,Data,1.0,True,Hybrid,2026
RW-INT-SRM_STA_100-01,SRM_STA_100,Nexora,Tier3,SDE Intern,AI,3.0,False,Remote,2025
RW-INT-SRM_STA_100-02,SRM_STA_100,CloudBridge,Startup,ML Intern,Cloud,1.0,False,Remote,2022
RW-INT-SRM_STA_101-01,SRM_STA_101,DataNest,Tier1,Web Developer Intern,Data,6.0,False,Hybrid,2023
RW-INT-SRM_STA_101-02,SRM_STA_101,CloudBridge,Tier2,Web Developer Intern,Cloud,2.0,True,Hybrid,2026
RW-INT-SRM_STA_102-01,SRM_STA_102,FinSight,Tier1,SDE Intern,Cloud,1.0,False,Hybrid,2022
RW-INT-SRM_STA_103-01,SRM_STA_103,CloudBridge,Tier1,Data Analyst Intern,Cloud,1.0,False,Remote,2023
RW-INT-SRM_STA_104-01,SRM_STA_104,DataNest,Tier3,SDE Intern,Cloud,1.0,True,Remote,2025
RW-INT-SRM_STA_104-02,SRM_STA_104,CloudBridge,Tier3,ML Intern,Cloud,1.0,True,Remote,2024
RW-INT-SRM_STA_105-01,SRM_STA_105,DataNest,Tier2,ML Intern,Web,6.0,True,Remote,2022
RW-INT-SRM_STA_105-02,SRM_STA_105,CloudBridge,Tier3,Data Analyst Intern,Data,2.0,True,Hybrid,2024
RW-INT-SRM_STA_106-01,SRM_STA_106,FinSight,Startup,Data Analyst Intern,AI,3.0,True,Remote,2022
RW-INT-SRM_STA_106-02,SRM_STA_106,DataNest,Tier1,Data Analyst Intern,Web,6.0,True,Remote,2023
RW-INT-SRM_STA_107-01,SRM_STA_107,FinSight,Tier3,SDE Intern,Cloud,3.0,False,Remote,2022
RW-INT-SRM_STA_107-02,SRM_STA_107,DataNest,Startup,SDE Intern,Data,1.0,True,Hybrid,2025
RW-INT-SRM_STA_108-01,SRM_STA_108,FinSight,Tier1,Data Analyst Intern,AI,2.0,False,Hybrid,2024
RW-INT-SRM_STA_108-02,SRM_STA_108,CodeWave,Tier1,Web Developer Intern,Cloud,3.0,False,Hybrid,2025
RW-INT-SRM_STA_109-01,SRM_STA_109,CodeWave,Startup,Data Analyst Intern,Cloud,3.0,True,Hybrid,2024
RW-INT-SRM_STA_109-02,SRM_STA_109,DataNest,Tier3,Data Analyst Intern,AI,6.0,False,Remote,2022
RW-INT-SRM_STA_110-01,SRM_STA_110,Nexora,Tier1,Data Analyst Intern,Cloud,6.0,True,Hybrid,2024
RW-INT-SRM_STA_111-01,SRM_STA_111,CloudBridge,Tier2,Web Developer Intern,Cloud,2.0,True,Hybrid,2024
RW-INT-SRM_STA_112-01,SRM_STA_112,Nexora,Tier3,Data Analyst Intern,Web,3.0,True,On-site,2026
RW-INT-SRM_STA_113-01,SRM_STA_113,CodeWave,Tier3,ML Intern,Web,3.0,True,Hybrid,2023
RW-INT-SRM_STA_114-01,SRM_STA_114,CodeWave,Tier2,ML Intern,Cloud,1.0,True,Hybrid,2022
RW-INT-SRM_STA_114-02,SRM_STA_114,DataNest,Startup,SDE Intern,Web,6.0,False,On-site,2024
RW-INT-SRM_STA_115-01,SRM_STA_115,Nexora,Startup,ML Intern,Web,2.0,False,Remote,2023
RW-INT-SRM_STA_116-01,SRM_STA_116,FinSight,Tier2,Web Developer Intern,Web,2.0,False,Hybrid,2023
RW-INT-SRM_STA_116-02,SRM_STA_116,DataNest,Tier1,Web Developer Intern,Data,6.0,False,Remote,2025
RW-INT-SRM_STA_117-01,SRM_STA_117,DataNest,Tier1,ML Intern,AI,6.0,False,Remote,2023
RW-INT-SRM_STA_118-01,SRM_STA_118,DataNest,Tier2,Web Developer Intern,AI,6.0,False,Remote,2022
RW-INT-SRM_STA_118-02,SRM_STA_118,CodeWave,Tier3,ML Intern,Data,6.0,False,Remote,2023
RW-INT-SRM_STA_119-01,SRM_STA_119,Nexora,Tier3,ML Intern,Data,1.0,False,Remote,2022
RW-INT-SRM_STA_120-01,SRM_STA_120,FinSight,Startup,Web Developer Intern,AI,6.0,False,Hybrid,2026
RW-INT-SRM_STA_121-01,SRM_STA_121,FinSight,Tier3,ML Intern,Web,1.0,True,Hybrid,2025
RW-INT-SRM_STA_121-02,SRM_STA_121,CloudBridge,Tier1,ML Intern,Data,1.0,True,On-site,2022
RW-INT-SRM_STA_122-01,SRM_STA_122,FinSight,Startup,Data Analyst Intern,Cloud,3.0,False,On-site,2025
RW-INT-SRM_STA_123-01,SRM_STA_123,DataNest,Tier1,SDE Intern,Data,2.0,False,Remote,2023
RW-INT-SRM_STA_123-02,SRM_STA_123,CloudBridge,Tier2,ML Intern,AI,6.0,True,Remote,2025
RW-INT-SRM_STA_124-01,SRM_STA_124,DataNest,Startup,Data Analyst Intern,Web,3.0,True,Hybrid,2025
RW-INT-SRM_STA_124-02,SRM_STA_124,FinSight,Startup,Web Developer Intern,AI,6.0,False,On-site,2022
RW-INT-SRM_STA_125-01,SRM_STA_125,CodeWave,Startup,Web Developer Intern,Web,1.0,False,Remote,2026
RW-INT-SRM_STA_125-02,SRM_STA_125,CloudBridge,Startup,SDE Intern,AI,6.0,True,On-site,2024
RW-INT-SRM_STA_126-01,SRM_STA_126,CodeWave,Tier3,SDE Intern,Cloud,1.0,False,Hybrid,2023
RW-INT-SRM_STA_127-01,SRM_STA_127,Nexora,Tier1,SDE Intern,Cloud,6.0,True,Hybrid,2025
RW-INT-SRM_STA_127-02,SRM_STA_127,DataNest,Tier1,Data Analyst Intern,AI,3.0,True,Hybrid,2026
RW-INT-SRM_STA_128-01,SRM_STA_128,Nexora,Tier1,Web Developer Intern,Web,2.0,False,On-site,2025
RW-INT-SRM_STA_128-02,SRM_STA_128,CloudBridge,Tier1,SDE Intern,AI,6.0,False,On-site,2025
RW-INT-SRM_STA_129-01,SRM_STA_129,CloudBridge,Startup,Data Analyst Intern,AI,6.0,False,Remote,2025
RW-INT-SRM_STA_130-01,SRM_STA_130,FinSight,Tier2,Web Developer Intern,Web,2.0,True,On-site,2025
RW-INT-SRM_STA_130-02,SRM_STA_130,Nexora,Startup,ML Intern,Cloud,6.0,True,Hybrid,2024
RW-INT-SRM_STA_131-01,SRM_STA_131,CloudBridge,Tier3,SDE Intern,Web,2.0,True,Remote,2023
RW-INT-SRM_STA_131-02,SRM_STA_131,DataNest,Startup,Data Analyst Intern,Web,2.0,True,On-site,2022
RW-INT-SRM_STA_132-01,SRM_STA_132,FinSight,Tier3,ML Intern,Data,3.0,False,Hybrid,2025
RW-INT-SRM_STA_133-01,SRM_STA_133,CodeWave,Tier1,SDE Intern,Data,2.0,True,On-site,2026
RW-INT-SRM_STA_133-02,SRM_STA_133,CodeWave,Startup,Data Analyst Intern,Web,3.0,True,Remote,2024
RW-INT-SRM_STA_134-01,SRM_STA_134,DataNest,Tier3,ML Intern,Cloud,2.0,False,On-site,2023
RW-INT-SRM_STA_135-01,SRM_STA_135,CloudBridge,Tier1,Web Developer Intern,Cloud,3.0,False,Hybrid,2026
RW-INT-SRM_STA_136-01,SRM_STA_136,Nexora,Tier1,ML Intern,Cloud,1.0,False,On-site,2022
RW-INT-SRM_STA_137-01,SRM_STA_137,CodeWave,Tier1,Web Developer Intern,AI,2.0,False,Hybrid,2022
RW-INT-SRM_STA_138-01,SRM_STA_138,FinSight,Startup,Web Developer Intern,Cloud,3.0,False,Remote,2023
RW-INT-SRM_STA_139-01,SRM_STA_139,CodeWave,Tier1,Data Analyst Intern,Web,3.0,True,Remote,2025
RW-INT-SRM_STA_140-01,SRM_STA_140,DataNest,Tier2,SDE Intern,AI,6.0,False,On-site,2023
RW-INT-SRM_STA_141-01,SRM_STA_141,FinSight,Tier1,Web Developer Intern,Cloud,6.0,False,Hybrid,2024
RW-INT-SRM_STA_141-02,SRM_STA_141,DataNest,Startup,ML Intern,Data,6.0,True,Hybrid,2025
RW-INT-SRM_STA_142-01,SRM_STA_142,Nexora,Tier3,Web Developer Intern,Data,2.0,True,Hybrid,2022
RW-INT-SRM_STA_143-01,SRM_STA_143,Nexora,Tier3,ML Intern,Web,3.0,True,Remote,2024
RW-INT-SRM_STA_144-01,SRM_STA_144,FinSight,Tier3,Web Developer Intern,Web,2.0,False,Remote,2023
RW-INT-SRM_STA_145-01,SRM_STA_145,FinSight,Tier1,Web Developer Intern,AI,3.0,False,On-site,2022
RW-INT-SRM_STA_145-02,SRM_STA_145,Nexora,Tier1,Web Developer Intern,Cloud,3.0,False,Remote,2025
RW-INT-SRM_STA_146-01,SRM_STA_146,DataNest,Startup,Web Developer Intern,Data,3.0,True,Remote,2025
RW-INT-SRM_STA_146-02,SRM_STA_146,Nexora,Tier1,ML Intern,AI,2.0,False,Hybrid,2026
RW-INT-SRM_STA_147-01,SRM_STA_147,CodeWave,Tier1,SDE Intern,AI,3.0,True,On-site,2022
RW-INT-SRM_STA_147-02,SRM_STA_147,CodeWave,Startup,ML Intern,AI,2.0,True,Remote,2022
RW-INT-SRM_STA_148-01,SRM_STA_148,Nexora,Tier2,Web Developer Intern,AI,6.0,False,On-site,2026
RW-INT-SRM_STA_149-01,SRM_STA_149,Nexora,Tier2,ML Intern,AI,1.0,False,Hybrid,2022
RW-INT-SRM_STA_149-02,SRM_STA_149,CodeWave,Tier2,SDE Intern,Data,2.0,True,Remote,2024
RW-INT-SRM_STA_150-01,SRM_STA_150,CloudBridge,Startup,Data Analyst Intern,Cloud,3.0,True,Remote,2023
RW-INT-SRM_STA_150-02,SRM_STA_150,DataNest,Tier2,ML Intern,Data,2.0,False,Hybrid,2025
RW-INT-SRM_STA_151-01,SRM_STA_151,CloudBridge,Tier2,Data Analyst Intern,AI,3.0,False,Hybrid,2022
RW-INT-SRM_STA_152-01,SRM_STA_152,DataNest,Startup,ML Intern,AI,3.0,False,Hybrid,2023
