cert_id,student_id,cert_name,issuing_body,tier,domain,year_obtained
RW-CERT-SRM_STA_003-01,SRM_STA_003,GitHub Actions Certification,Issuer,Global_Standard,Data,2023
RW-CERT-SRM_STA_003_V2-01,SRM_STA_003_V2,GitHub Actions Certification,Issuer,Local,Cloud,2022
RW-CERT-SRM_STA_004-01,SRM_STA_004,Unity Certified Associate,Issuer,Global_Premium,Web,2025
RW-CERT-SRM_STA_004_V2-01,SRM_STA_004_V2,Unity Certified Associate,Issuer,Global_Standard,AI,2024
RW-CERT-SRM_STA_005-01,SRM_STA_005,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Web,2025
RW-CERT-SRM_STA_005_V2-01,SRM_STA_005_V2,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Web,2023
RW-CERT-SRM_STA_006-01,SRM_STA_006,CCNA,Issuer,Global_Premium,AI,2025
RW-CERT-SRM_STA_006_V2-01,SRM_STA_006_V2,CCNA,Issuer,National,Web,2024
RW-CERT-SRM_STA_007-01,SRM_STA_007,Docker Certified Associate,Issuer,National,Data,2024
RW-CERT-SRM_STA_007_V2-01,SRM_STA_007_V2,Docker Certified Associate,Issuer,Global_Standard,AI,2026
RW-CERT-SRM_STA_008-01,SRM_STA_008,MongoDB Associate Developer,Issuer,Local,Data,2022
RW-CERT-SRM_STA_008-02,SRM_STA_008,GitHub Actions Certification,Issuer,Global_Premium,Programming,2023
RW-CERT-SRM_STA_008-03,SRM_STA_008,NPTEL - Machine Learning,NPTEL,Global_Premium,Web,2023
RW-CERT-SRM_STA_008_V2-01,SRM_STA_008_V2,MongoDB Associate Developer,Issuer,Local,Programming,2024
RW-CERT-SRM_STA_008_V2-02,SRM_STA_008_V2,GitHub Actions Certification,Issuer,National,AI,2023
RW-CERT-SRM_STA_008_V2-03,SRM_STA_008_V2,NPTEL - Machine Learning,NPTEL,Global_Standard,Web,2023
RW-CERT-SRM_STA_009-01,SRM_STA_009,Unity Certified Associate,Issuer,Local,Web,2023
RW-CERT-SRM_STA_009-02,SRM_STA_009,MongoDB Associate Developer,Issuer,National,Programming,2026
RW-CERT-SRM_STA_009-03,SRM_STA_009,Tableau Certified Data Analyst,Issuer,Local,Web,2024
RW-CERT-SRM_STA_009_V2-01,SRM_STA_009_V2,Unity Certified Associate,Issuer,National,AI,2023
RW-CERT-SRM_STA_009_V2-02,SRM_STA_009_V2,MongoDB Associate Developer,Issuer,Local,AI,2026
RW-CERT-SRM_STA_009_V2-03,SRM_STA_009_V2,Tableau Certified Data Analyst,Issuer,Global_Premium,Programming,2025
RW-CERT-SRM_STA_010-01,SRM_STA_010,Docker Certified Associate,Issuer,Global_Premium,Data,2022
RW-CERT-SRM_STA_010-02,SRM_STA_010,CompTIA Security+,Issuer,Global_Premium,Cloud,2023
RW-CERT-SRM_STA_010-03,SRM_STA_010,Unity Certified Associate,Issuer,Global_Standard,AI,2026
RW-CERT-SRM_STA_010_V2-01,SRM_STA_010_V2,Docker Certified Associate,Issuer,Global_Premium,Cloud,2024
RW-CERT-SRM_STA_010_V2-02,SRM_STA_010_V2,CompTIA Security+,Issuer,Global_Premium,Programming,2022
RW-CERT-SRM_STA_010_V2-03,SRM_STA_010_V2,Unity Certified Associate,Issuer,Global_Premium,Data,2026
RW-CERT-SRM_STA_011-01,SRM_STA_011,Tableau Certified Data Analyst,Issuer,Local,AI,2026
RW-CERT-SRM_STA_011_V2-01,SRM_STA_011_V2,Tableau Certified Data Analyst,Issuer,Local,Cloud,2024
RW-CERT-SRM_STA_012-01,SRM_STA_012,MongoDB Associate Developer,Issuer,Local,Cloud,2026
RW-CERT-SRM_STA_012-02,SRM_STA_012,AWS Certified Developer - Associate,AWS Certified Developer,Local,Data,2022
RW-CERT-SRM_STA_012-03,SRM_STA_012,Google Cloud Certified: Cloud Engineer,Issuer,Global_Premium,Web,2023
RW-CERT-SRM_STA_012_V2-01,SRM_STA_012_V2,MongoDB Associate Developer,Issuer,National,Cloud,2024
RW-CERT-SRM_STA_012_V2-02,SRM_STA_012_V2,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Web,2024
RW-CERT-SRM_STA_012_V2-03,SRM_STA_012_V2,Google Cloud Certified: Cloud Engineer,Issuer,Local,Web,2025
RW-CERT-SRM_STA_013-01,SRM_STA_013,Unity Certified Associate,Issuer,Global_Standard,Web,2025
RW-CERT-SRM_STA_013-02,SRM_STA_013,AWS Certified Cloud Practitioner,Issuer,Global_Premium,Data,2025
RW-CERT-SRM_STA_013-03,SRM_STA_013,Oracle Certified Professional: Java SE 11,Issuer,Local,Data,2026
RW-CERT-SRM_STA_013_V2-01,SRM_STA_013_V2,Unity Certified Associate,Issuer,Global_Standard,Programming,2026
RW-CERT-SRM_STA_013_V2-02,SRM_STA_013_V2,AWS Certified Cloud Practitioner,Issuer,Global_Standard,Cloud,2022
RW-CERT-SRM_STA_013_V2-03,SRM_STA_013_V2,Oracle Certified Professional: Java SE 11,Issuer,National,Web,2024
RW-CERT-SRM_STA_014-01,SRM_STA_014,Tableau Certified Data Analyst,Issuer,Local,Cloud,2023
RW-CERT-SRM_STA_014_V2-01,SRM_STA_014_V2,Tableau Certified Data Analyst,Issuer,National,Data,2026
RW-CERT-SRM_STA_015-01,SRM_STA_015,Unity Certified Associate,Issuer,Global_Premium,Cloud,2026
RW-CERT-SRM_STA_015-02,SRM_STA_015,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Data,2025
RW-CERT-SRM_STA_015-03,SRM_STA_015,NPTEL - Machine Learning,NPTEL,National,Programming,2025
RW-CERT-SRM_STA_015-04,SRM_STA_015,Microsoft Certified: Azure Fundamentals,Issuer,Global_Standard,Cloud,2022
RW-CERT-SRM_STA_015_V2-01,SRM_STA_015_V2,Unity Certified Associate,Issuer,Global_Premium,Cloud,2024
RW-CERT-SRM_STA_015_V2-02,SRM_STA_015_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,AI,2026
RW-CERT-SRM_STA_015_V2-03,SRM_STA_015_V2,NPTEL - Machine Learning,NPTEL,Global_Standard,Web,2024
RW-CERT-SRM_STA_015_V2-04,SRM_STA_015_V2,Microsoft Certified: Azure Fundamentals,Issuer,Local,Programming,2025
RW-CERT-SRM_STA_016-01,SRM_STA_016,Tableau Certified Data Analyst,Issuer,Global_Standard,AI,2024
RW-CERT-SRM_STA_016-02,SRM_STA_016,NPTEL - Programming in Java,NPTEL,Local,Cloud,2023
RW-CERT-SRM_STA_016-03,SRM_STA_016,Unity Certified Associate,Issuer,National,Data,2026
RW-CERT-SRM_STA_016-04,SRM_STA_016,Google Cloud Certified: Cloud Engineer,Issuer,Local,Programming,2024
RW-CERT-SRM_STA_016_V2-01,SRM_STA_016_V2,Tableau Certified Data Analyst,Issuer,Global_Standard,Cloud,2026
RW-CERT-SRM_STA_016_V2-02,SRM_STA_016_V2,NPTEL - Programming in Java,NPTEL,Global_Standard,Data,2025
RW-CERT-SRM_STA_016_V2-03,SRM_STA_016_V2,Unity Certified Associate,Issuer,National,AI,2022
RW-CERT-SRM_STA_016_V2-04,SRM_STA_016_V2,Google Cloud Certified: Cloud Engineer,Issuer,National,Data,2024
RW-CERT-SRM_STA_017-01,SRM_STA_017,CompTIA Security+,Issuer,National,Programming,2026
RW-CERT-SRM_STA_017-02,SRM_STA_017,Tableau Certified Data Analyst,Issuer,National,Web,2025
RW-CERT-SRM_STA_017-03,SRM_STA_017,AWS Certified Developer - Associate,AWS Certified Developer,National,AI,2024
RW-CERT-SRM_STA_017_V2-01,SRM_STA_017_V2,CompTIA Security+,Issuer,Global_Standard,Data,2026
RW-CERT-SRM_STA_017_V2-02,SRM_STA_017_V2,Tableau Certified Data Analyst,Issuer,National,Programming,2025
RW-CERT-SRM_STA_017_V2-03,SRM_STA_017_V2,AWS Certified Developer - Associate,AWS Certified Developer,Local,Programming,2022
RW-CERT-SRM_STA_018-01,SRM_STA_018,Google Cloud Certified: Cloud Engineer,Issuer,Local,Data,2026
RW-CERT-SRM_STA_018-02,SRM_STA_018,MongoDB Associate Developer,Issuer,Global_Premium,AI,2023
RW-CERT-SRM_STA_018_V2-01,SRM_STA_018_V2,Google Cloud Certified: Cloud Engineer,Issuer,Local,AI,2025
RW-CERT-SRM_STA_018_V2-02,SRM_STA_018_V2,MongoDB Associate Developer,Issuer,Global_Premium,Data,2025
RW-CERT-SRM_STA_019-01,SRM_STA_019,NPTEL - Machine Learning,NPTEL,National,Programming,2022
RW-CERT-SRM_STA_019-02,SRM_STA_019,Oracle Certified Professional: Java SE 11,Issuer,National,Programming,2025
RW-CERT-SRM_STA_019_V2-01,SRM_STA_019_V2,NPTEL - Machine Learning,NPTEL,Global_Premium,Cloud,2025
RW-CERT-SRM_STA_019_V2-02,SRM_STA_019_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Web,2024
RW-CERT-SRM_STA_020-01,SRM_STA_020,Unity Certified Associate,Issuer,Global_Standard,AI,2023
RW-CERT-SRM_STA_020-02,SRM_STA_020,MongoDB Associate Developer,Issuer,Global_Premium,Programming,2023
RW-CERT-SRM_STA_020-03,SRM_STA_020,Certified Ethical Hacker (CEH V12),Issuer,National,Programming,2023
RW-CERT-SRM_STA_020_V2-01,SRM_STA_020_V2,Unity Certified Associate,Issuer,Local,Data,2022
RW-CERT-SRM_STA_020_V2-02,SRM_STA_020_V2,MongoDB Associate Developer,Issuer,Global_Premium,Data,2026
RW-CERT-SRM_STA_020_V2-03,SRM_STA_020_V2,Certified Ethical Hacker (CEH V12),Issuer,National,Cloud,2022
RW-CERT-SRM_STA_021-01,SRM_STA_021,Unity Certified Associate,Issuer,National,AI,2026
RW-CERT-SRM_STA_021-02,SRM_STA_021,Google Cloud Certified: Cloud Engineer,Issuer,Local,Data,2025
RW-CERT-SRM_STA_021-03,SRM_STA_021,MongoDB Associate Developer,Issuer,Global_Premium,Programming,2025
RW-CERT-SRM_STA_021_V2-01,SRM_STA_021_V2,Unity Certified Associate,Issuer,Global_Premium,AI,2026
RW-CERT-SRM_STA_021_V2-02,SRM_STA_021_V2,Google Cloud Certified: Cloud Engineer,Issuer,Global_Premium,Data,2026
RW-CERT-SRM_STA_021_V2-03,SRM_STA_021_V2,MongoDB Associate Developer,Issuer,Global_Standard,AI,2024
RW-CERT-SRM_STA_022-01,SRM_STA_022,Unity Certified Associate,Issuer,Global_Standard,Programming,2025
RW-CERT-SRM_STA_022-02,SRM_STA_022,Docker Certified Associate,Issuer,Global_Premium,AI,2026
RW-CERT-SRM_STA_022_V2-01,SRM_STA_022_V2,Unity Certified Associate,Issuer,Global_Premium,Cloud,2024
RW-CERT-SRM_STA_022_V2-02,SRM_STA_022_V2,Docker Certified Associate,Issuer,Global_Premium,AI,2024
RW-CERT-SRM_STA_023-01,SRM_STA_023,CCNA,Issuer,Global_Standard,Cloud,2026
RW-CERT-SRM_STA_023_V2-01,SRM_STA_023_V2,CCNA,Issuer,National,Cloud,2026
RW-CERT-SRM_STA_024-01,SRM_STA_024,NPTEL - Programming in Java,NPTEL,Global_Standard,AI,2025
RW-CERT-SRM_STA_024_V2-01,SRM_STA_024_V2,NPTEL - Programming in Java,NPTEL,Global_Standard,Cloud,2024
RW-CERT-SRM_STA_025-01,SRM_STA_025,NPTEL - Programming in Java,NPTEL,National,Data,2025
RW-CERT-SRM_STA_025-02,SRM_STA_025,Docker Certified Associate,Issuer,Local,Cloud,2025
RW-CERT-SRM_STA_025-03,SRM_STA_025,Microsoft Certified: Azure Fundamentals,Issuer,Global_Premium,Programming,2022
RW-CERT-SRM_STA_025_V2-01,SRM_STA_025_V2,NPTEL - Programming in Java,NPTEL,Global_Premium,Programming,2022
RW-CERT-SRM_STA_025_V2-02,SRM_STA_025_V2,Docker Certified Associate,Issuer,Global_Standard,Web,2024
RW-CERT-SRM_STA_025_V2-03,SRM_STA_025_V2,Microsoft Certified: Azure Fundamentals,Issuer,Local,Web,2023
RW-CERT-SRM_STA_026-01,SRM_STA_026,Unity Certified Associate,Issuer,Global_Premium,AI,2023
RW-CERT-SRM_STA_026-02,SRM_STA_026,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Data,2026
RW-CERT-SRM_STA_026-03,SRM_STA_026,Oracle Certified Professional: Java SE 11,Issuer,Local,AI,2024
RW-CERT-SRM_STA_026_V2-01,SRM_STA_026_V2,Unity Certified Associate,Issuer,Local,Web,2024
RW-CERT-SRM_STA_026_V2-02,SRM_STA_026_V2,AWS Certified Developer - Associate,AWS Certified Developer,National,Programming,2022
RW-CERT-SRM_STA_026_V2-03,SRM_STA_026_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Standard,AI,2022
RW-CERT-SRM_STA_027-01,SRM_STA_027,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Data,2023
RW-CERT-SRM_STA_027-02,SRM_STA_027,CompTIA Security+,Issuer,Global_Standard,Programming,2023
RW-CERT-SRM_STA_027-03,SRM_STA_027,AWS Certified Cloud Practitioner,Issuer,Local,Data,2022
RW-CERT-SRM_STA_027-04,SRM_STA_027,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Programming,2023
RW-CERT-SRM_STA_027_V2-01,SRM_STA_027_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Standard,Cloud,2022
RW-CERT-SRM_STA_027_V2-02,SRM_STA_027_V2,CompTIA Security+,Issuer,Global_Standard,Cloud,2023
RW-CERT-SRM_STA_027_V2-03,SRM_STA_027_V2,AWS Certified Cloud Practitioner,Issuer,Global_Premium,Data,2022
RW-CERT-SRM_STA_027_V2-04,SRM_STA_027_V2,AWS Certified Developer - Associate,AWS Certified Developer,Global_Standard,AI,2026
RW-CERT-SRM_STA_028-01,SRM_STA_028,Unity Certified Associate,Issuer,Global_Standard,Programming,2025
RW-CERT-SRM_STA_028-02,SRM_STA_028,MongoDB Associate Developer,Issuer,National,Data,2022
RW-CERT-SRM_STA_028_V2-01,SRM_STA_028_V2,Unity Certified Associate,Issuer,Local,AI,2025
RW-CERT-SRM_STA_028_V2-02,SRM_STA_028_V2,MongoDB Associate Developer,Issuer,Global_Premium,AI,2026
RW-CERT-SRM_STA_029-01,SRM_STA_029,Microsoft Certified: Azure Fundamentals,Issuer,National,Cloud,2022
RW-CERT-SRM_STA_029-02,SRM_STA_029,AWS Certified Cloud Practitioner,Issuer,Global_Standard,Cloud,2025
RW-CERT-SRM_STA_029_V2-01,SRM_STA_029_V2,Microsoft Certified: Azure Fundamentals,Issuer,Global_Standard,Cloud,2023
RW-CERT-SRM_STA_029_V2-02,SRM_STA_029_V2,AWS Certified Cloud Practitioner,Issuer,Global_Standard,Cloud,2024
RW-CERT-SRM_STA_030-01,SRM_STA_030,NPTEL - Machine Learning,NPTEL,Global_Premium,Cloud,2022
RW-CERT-SRM_STA_030-02,SRM_STA_030,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Web,2022
RW-CERT-SRM_STA_030-03,SRM_STA_030,Certified Ethical Hacker (CEH V12),Issuer,National,Web,2025
RW-CERT-SRM_STA_030-04,SRM_STA_030,Unity Certified Associate,Issuer,Global_Standard,AI,2026
RW-CERT-SRM_STA_030_V2-01,SRM_STA_030_V2,NPTEL - Machine Learning,NPTEL,Global_Premium,AI,2024
RW-CERT-SRM_STA_030_V2-02,SRM_STA_030_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Data,2024
RW-CERT-SRM_STA_030_V2-03,SRM_STA_030_V2,Certified Ethical Hacker (CEH V12),Issuer,Global_Premium,Programming,2023
RW-CERT-SRM_STA_030_V2-04,SRM_STA_030_V2,Unity Certified Associate,Issuer,Global_Premium,Cloud,2024
RW-CERT-SRM_STA_031-01,SRM_STA_031,GitHub Actions Certification,Issuer,Local,AI,2026
RW-CERT-SRM_STA_031_V2-01,SRM_STA_031_V2,GitHub Actions Certification,Issuer,Global_Premium,AI,2023
RW-CERT-SRM_STA_032-01,SRM_STA_032,Microsoft Certified: Azure Fundamentals,Issuer,National,Data,2025
RW-CERT-SRM_STA_032-02,SRM_STA_032,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Cloud,2026
RW-CERT-SRM_STA_032-03,SRM_STA_032,Google Cloud Certified: Cloud Engineer,Issuer,Global_Standard,Web,2023
RW-CERT-SRM_STA_032_V2-01,SRM_STA_032_V2,Microsoft Certified: Azure Fundamentals,Issuer,Local,Programming,2025
RW-CERT-SRM_STA_032_V2-02,SRM_STA_032_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Data,2025
RW-CERT-SRM_STA_032_V2-03,SRM_STA_032_V2,Google Cloud Certified: Cloud Engineer,Issuer,National,AI,2022
RW-CERT-SRM_STA_033-01,SRM_STA_033,CCNA,Issuer,National,Programming,2025
RW-CERT-SRM_STA_033-02,SRM_STA_033,AWS Certified Cloud Practitioner,Issuer,Local,Data,2024
RW-CERT-SRM_STA_033-03,SRM_STA_033,Tableau Certified Data Analyst,Issuer,National,Web,2023
RW-CERT-SRM_STA_033_V2-01,SRM_STA_033_V2,CCNA,Issuer,Global_Premium,AI,2026
RW-CERT-SRM_STA_033_V2-02,SRM_STA_033_V2,AWS Certified Cloud Practitioner,Issuer,National,Web,2026
RW-CERT-SRM_STA_033_V2-03,SRM_STA_033_V2,Tableau Certified Data Analyst,Issuer,Local,Cloud,2022
RW-CERT-SRM_STA_034-01,SRM_STA_034,AWS Certified Developer - Associate,AWS Certified Developer,National,Web,2025
RW-CERT-SRM_STA_034-02,SRM_STA_034,Certified Ethical Hacker (CEH V12),Issuer,Global_Standard,Cloud,2025
RW-CERT-SRM_STA_034-03,SRM_STA_034,CCNA,Issuer,Local,Programming,2025
RW-CERT-SRM_STA_034-04,SRM_STA_034,Docker Certified Associate,Issuer,Local,Cloud,2022
RW-CERT-SRM_STA_034_V2-01,SRM_STA_034_V2,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Cloud,2025
RW-CERT-SRM_STA_034_V2-02,SRM_STA_034_V2,Certified Ethical Hacker (CEH V12),Issuer,Local,AI,2025
RW-CERT-SRM_STA_034_V2-03,SRM_STA_034_V2,CCNA,Issuer,Local,Data,2026
RW-CERT-SRM_STA_034_V2-04,SRM_STA_034_V2,Docker Certified Associate,Issuer,National,Web,2023
RW-CERT-SRM_STA_035-01,SRM_STA_035,MongoDB Associate Developer,Issuer,Global_Premium,Data,2022
RW-CERT-SRM_STA_035-02,SRM_STA_035,Tableau Certified Data Analyst,Issuer,Global_Premium,AI,2023
RW-CERT-SRM_STA_035_V2-01,SRM_STA_035_V2,MongoDB Associate Developer,Issuer,Global_Premium,Data,2022
RW-CERT-SRM_STA_035_V2-02,SRM_STA_035_V2,Tableau Certified Data Analyst,Issuer,National,AI,2022
RW-CERT-SRM_STA_036-01,SRM_STA_036,CCNA,Issuer,Global_Premium,AI,2022
RW-CERT-SRM_STA_036-02,SRM_STA_036,Unity Certified Associate,Issuer,Local,Programming,2024
RW-CERT-SRM_STA_036-03,SRM_STA_036,MongoDB Associate Developer,Issuer,Local,Web,2022
RW-CERT-SRM_STA_036_V2-01,SRM_STA_036_V2,CCNA,Issuer,Global_Standard,Cloud,2024
RW-CERT-SRM_STA_036_V2-02,SRM_STA_036_V2,Unity Certified Associate,Issuer,Global_Premium,Web,2025
RW-CERT-SRM_STA_036_V2-03,SRM_STA_036_V2,MongoDB Associate Developer,Issuer,Global_Premium,Cloud,2022
RW-CERT-SRM_STA_037-01,SRM_STA_037,Docker Certified Associate,Issuer,Local,Programming,2025
RW-CERT-SRM_STA_037-02,SRM_STA_037,Certified Ethical Hacker (CEH V12),Issuer,Local,Cloud,2024
RW-CERT-SRM_STA_037_V2-01,SRM_STA_037_V2,Docker Certified Associate,Issuer,National,Web,2026
RW-CERT-SRM_STA_037_V2-02,SRM_STA_037_V2,Certified Ethical Hacker (CEH V12),Issuer,National,Programming,2025
RW-CERT-SRM_STA_038-01,SRM_STA_038,Unity Certified Associate,Issuer,National,Programming,2026
RW-CERT-SRM_STA_038-02,SRM_STA_038,Docker Certified Associate,Issuer,Global_Premium,Data,2025
RW-CERT-SRM_STA_038-03,SRM_STA_038,Tableau Certified Data Analyst,Issuer,Global_Premium,Data,2025
RW-CERT-SRM_STA_038_V2-01,SRM_STA_038_V2,Unity Certified Associate,Issuer,Local,Data,2025
RW-CERT-SRM_STA_038_V2-02,SRM_STA_038_V2,Docker Certified Associate,Issuer,National,Programming,2022
RW-CERT-SRM_STA_038_V2-03,SRM_STA_038_V2,Tableau Certified Data Analyst,Issuer,Global_Standard,Web,2025
RW-CERT-SRM_STA_039-01,SRM_STA_039,AWS Certified Developer - Associate,AWS Certified Developer,National,Programming,2024
RW-CERT-SRM_STA_039-02,SRM_STA_039,NPTEL - Programming in Java,NPTEL,Local,Web,2023
RW-CERT-SRM_STA_039-03,SRM_STA_039,MongoDB Associate Developer,Issuer,Global_Premium,Programming,2025
RW-CERT-SRM_STA_039-04,SRM_STA_039,Microsoft Certified: Azure Fundamentals,Issuer,Global_Premium,Programming,2026
RW-CERT-SRM_STA_039_V2-01,SRM_STA_039_V2,AWS Certified Developer - Associate,AWS Certified Developer,Global_Standard,Web,2026
RW-CERT-SRM_STA_039_V2-02,SRM_STA_039_V2,NPTEL - Programming in Java,NPTEL,National,Programming,2022
RW-CERT-SRM_STA_039_V2-03,SRM_STA_039_V2,MongoDB Associate Developer,Issuer,National,Programming,2023
RW-CERT-SRM_STA_039_V2-04,SRM_STA_039_V2,Microsoft Certified: Azure Fundamentals,Issuer,National,Data,2023
RW-CERT-SRM_STA_040-01,SRM_STA_040,Unity Certified Associate,Issuer,Global_Standard,AI,2025
RW-CERT-SRM_STA_040-02,SRM_STA_040,AWS Certified Developer - Associate,AWS Certified Developer,Local,Web,2023
RW-CERT-SRM_STA_040-03,SRM_STA_040,NPTEL - Machine Learning,NPTEL,Local,Data,2022
RW-CERT-SRM_STA_040_V2-01,SRM_STA_040_V2,Unity Certified Associate,Issuer,Global_Premium,Cloud,2024
RW-CERT-SRM_STA_040_V2-02,SRM_STA_040_V2,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,AI,2026
RW-CERT-SRM_STA_040_V2-03,SRM_STA_040_V2,NPTEL - Machine Learning,NPTEL,National,Data,2022
RW-CERT-SRM_STA_041-01,SRM_STA_041,• Atlassian Certified Associate,Issuer,Global_Premium,Programming,2025
RW-CERT-SRM_STA_041-02,SRM_STA_041,• Professional Scrum Master (PSM I),Issuer,National,AI,2025
RW-CERT-SRM_STA_041-03,SRM_STA_041,• A4Q Certified Selenium 4 Tester Foundation,Issuer,Local,AI,2022
RW-CERT-SRM_STA_042-01,SRM_STA_042,• Oracle Certified Professional: Java SE 11 Developer,Issuer,Local,Data,2023
RW-CERT-SRM_STA_042-02,SRM_STA_042,• CompTIA Network+,Issuer,Local,Cloud,2024
RW-CERT-SRM_STA_042-03,SRM_STA_042,• Certified Kubernetes Application Developer (CKAD),Issuer,Local,Cloud,2025
RW-CERT-SRM_STA_043-01,SRM_STA_043,• Certified Blockchain Expert,Issuer,National,Data,2022
RW-CERT-SRM_STA_043-02,SRM_STA_043,• NPTEL,Issuer,National,Programming,2022
RW-CERT-SRM_STA_044-01,SRM_STA_044,• Atlassian Certified Associate,Issuer,Local,Cloud,2025
RW-CERT-SRM_STA_044-02,SRM_STA_044,• ServiceNow Certified System Administrator,Issuer,Global_Premium,Web,2025
RW-CERT-SRM_STA_044-03,SRM_STA_044,• Microsoft Certified: Dynamics 365 Fundamentals (CRM),Issuer,Global_Premium,Web,2024
RW-CERT-SRM_STA_045-01,SRM_STA_045,• Microsoft Certified: Azure Developer Associate,Issuer,National,AI,2023
RW-CERT-SRM_STA_045-02,SRM_STA_045,• Tableau Certified Data Analyst,Issuer,National,Cloud,2026
RW-CERT-SRM_STA_045-03,SRM_STA_045,• Microsoft Certified: Azure Fundamentals,Issuer,Global_Premium,Cloud,2024
RW-CERT-SRM_STA_045-04,SRM_STA_045,• AWS Certified Solutions Architect,Issuer,Local,Data,2023
RW-CERT-SRM_STA_046-01,SRM_STA_046,• EC,Issuer,Local,Programming,2026
RW-CERT-SRM_STA_046-02,SRM_STA_046,• CCNA,Issuer,National,Cloud,2025
RW-CERT-SRM_STA_046-03,SRM_STA_046,• Nutanix Certified Associate 6,Issuer,Global_Standard,Web,2023
RW-CERT-SRM_STA_047-01,SRM_STA_047,• GitHub Actions Certification,Issuer,Global_Standard,Programming,2022
RW-CERT-SRM_STA_047-02,SRM_STA_047,• Salesforce Certified Administrator,Issuer,Local,AI,2026
RW-CERT-SRM_STA_047-03,SRM_STA_047,• Oracle Database SQL Specialist (1Z0,Issuer,National,Programming,2023
RW-CERT-SRM_STA_048-01,SRM_STA_048,• Blue Prism Certified Developer,Issuer,Local,Web,2026
RW-CERT-SRM_STA_048-02,SRM_STA_048,• Google Cloud Certified: Cloud Engineer,Issuer,Local,Web,2025
RW-CERT-SRM_STA_048-03,SRM_STA_048,• Oracle Certified Professional: Java SE 11 Developer,Issuer,Local,Programming,2024
RW-CERT-SRM_STA_049-01,SRM_STA_049,• AWS Certified Developer,Issuer,Global_Premium,Cloud,2022
RW-CERT-SRM_STA_049-02,SRM_STA_049,• Certified Full Stack Developer (CFSD),Issuer,Global_Premium,Programming,2024
RW-CERT-SRM_STA_049-03,SRM_STA_049,• AWS Certified AI Practitioner,Issuer,Global_Standard,AI,2025
RW-CERT-SRM_STA_049-04,SRM_STA_049,• JSE,Issuer,National,AI,2024
RW-CERT-SRM_STA_050-01,SRM_STA_050,• Google Cloud Certified: Cloud Engineer,Issuer,National,Data,2023
RW-CERT-SRM_STA_050-02,SRM_STA_050,• Oracle APEX Cloud Developer Professional,Issuer,Local,Programming,2025
